platform,title,caption,hashtags,keywords,likes,comments,shares,date,trend_score,trend_category,trend_class,url
Instagram,🔥เมนูฮิต ที่อยากให้ทุกคนได้ลอง! ขนมปังไก่หยองสาหร่,🔥เมนูฮิต ที่อยากให้ทุกคนได้ลอง! ขนมปังไก่หยองสาหร่ายน้ำสลัด Chicken Floss & Seaweed with Salad Cream Bun สูตรต้นตำรับจากเซี่ยงไฮ้ พร้อมเสิร์ฟความอร่อยแล้วค่ะ😋✨ . #missmamon #มิสมาม่อน #เค้กไก่หยอง #ไก่หยอง #เบเกอรี่,"#missmamon, #มิสมาม่อน, #เค้กไก่หยอง, #ไก่หยอง, #เบเกอรี่","ขนมปังไก่หยองสาหร่, cake, ที่อยากให้ทุกคนได้ลอง, สูตรต้นตำรับจากเซี่ยงไฮ้, เมนูฮิต, เค้กไก่หยอง",0,0,19,2025-08-10T15:47:34Z,8e-06,bakery,cake,https://www.instagram.com/p/e775c1d3-a3f8-4425-9abf-c0c0e0e6c9ae/
Instagram,ขึ้นรูปขนมปังไก่หยองมายองเนย ขึ้นรูปขนมปัง Homem,ขึ้นรูปขนมปังไก่หยองมายองเนย #ขึ้นรูปขนมปัง #Homemade,"#ขึ้นรูปขนมปัง, #Homemade","ขึ้นรูปขนมปัง, ขึ้นรูปขนมปังไก่หยองมายองเนย, bread",0,8,37,2024-04-12T15:47:34Z,1.8e-05,bakery,bread,https://www.instagram.com/p/f71e6844-6650-454c-b8ba-83c7de093777/
Facebook,❌ไก่หยองไม่กรอบ เครื่องน้อยมากคุนพรี่ื😭 จะกรอบกี่โ,❌ไก่หยองไม่กรอบ เครื่องน้อยมากคุนพรี่ื😭 จะกรอบกี่โมง !!! กล่องละ 150 เนื้อเค้กดีเลยนะ แต่รสชาติไม่ได้อย่างแรง ความเห็นส่วนตัวของผู้บริโภค !! . . #ปังเว่อร์ #เค้กไก่หยอง #รีวิวแบบไม่อวย #ขนมปังหมูหยองเซี่ยงไฮ้,"#ปังเว่อร์, #เค้กไก่หยอง, #รีวิวแบบไม่อวย, #ขนมปังหมูหยองเซี่ยงไฮ้","ไก่หยองไม่กรอบ, ปังเว่อร์, cake, เนื้อเค้กดีเลยนะ, ขนมปังหมูหยองเซี่ยงไฮ้, กล่องละ",0,1149,2578,2025-06-24T15:47:34Z,0.00143,bakery,cake,https://www.facebook.com/bakerythailand/posts/afa3bf13-69c5-431f-8f02-fa79cf1b8757
TikTok,ขนมปังไก่หยองน้ำสลัด 🍞 จากร้าน อาฟเตอร์ ยู🐏 มาวาง,ขนมปังไก่หยองน้ำสลัด 🍞 จากร้าน @อาฟเตอร์ ยู🐏 มาวางขายที่ Mikka แล้ว ไปลองกันค๊าบ‼️ ทานกับเครื่องดื่มของมิกก้า อร่อย สดชื่นมากค่ะ 🤤 📍Mikka Coffee Roasters @Mikka Coffee Roasters ทุกสาขา #รีวิวขนม #ของว่าง #tiktokพากิน #cafe #อร่อยบอกต่อ,"#รีวิวขนม, #ของว่าง, #tiktokพากิน, #cafe, #อร่อยบอกต่อ","ไปลองกันค๊าบ, ทุกสาขา, ยู, ของว่าง, รีวิวขนม, bread",0,16,11,2023-10-26T15:47:34Z,9e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/6145f294-c0a0-43e4-ba58-5f98f31b7a17
TikTok,ขนมปังน้ำสลัดไก่หยองอร่อยมากคะขนมปัง ขนมปังน้ําส,ขนมปังน้ำสลัดไก่หยองอร่อยมากคะ#ขนมปัง #ขนมปังน้ําสลัด #ไก่หยอง #ขนม #ขนมหวาน,"#ขนมปัง, #ขนมปังน้ําสลัด, #ไก่หยอง, #ขนม, #ขนมหวาน","ขนมปังน้ำสลัดไก่หยองอร่อยมากคะขนมปัง, ขนมหวาน, ขนมปังน้ำสลัดไก่หยองอร่อยมากคะ, ขนม, ขนมปังน้ําส, bread",0,26,106,2024-06-03T15:47:34Z,5.3e-05,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/1d43b4fb-6368-4d89-ad74-ee2b12c8d400
Facebook,ใหม่! EURO ยูโร่ปัง ขนมปังไก่หยองน้ำสลัด ฉ่ำๆ เยิ้,ใหม่! EURO ยูโร่ปัง ขนมปังไก่หยองน้ำสลัด ฉ่ำๆ เยิ้มๆ กินง่ายอร่อยอยู่ท้อง 1 ลังมี 36 ชิ้น ขนมปังเนื้อแน่น นุ่มสอดไส้ไก่หยองเต็มคำผสมผสานน้ำสลัดที่ราดฉ่ำๆจัดเต็มอยู่ด้านบน กินง่าย อิ่มท้อง อร่อย ขึ้นชื่อว่ายูโร่แล้วอร่อยแน่ #euro #ยูโร่ #ยูโร่ปัง #ยูโร่ปังไก่น้ำสลัด #เค้กไก่หยองน้ำสลัด,"#euro, #ยูโร่, #ยูโร่ปัง, #ยูโร่ปังไก่น้ำสลัด, #เค้กไก่หยองน้ำสลัด","ยูโร่ปัง, ขนมปังเนื้อแน่น, ใหม่, อิ่มท้อง, ยูโร่ปังไก่น้ำสลัด, cake",0,1,12,2024-07-02T15:47:34Z,5e-06,bakery,cake,https://www.facebook.com/bakerythailand/posts/72a3f4da-07f4-4208-85a4-86365ef78e8a
TikTok,ขนมปัง น้ำสลัดไก่หยอง เปิดการมองเห็น,#ขนมปัง #น้ำสลัดไก่หยอง #เปิดการมองเห็น,"#ขนมปัง, #น้ำสลัดไก่หยอง, #เปิดการมองเห็น","น้ำสลัดไก่หยอง, ขนมปัง, เปิดการมองเห็น, bread",0,0,3,2025-07-01T15:47:34Z,1e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/55754172-d659-42b2-bdb7-3b53c5c6aa02
Instagram,ขนมปังไก่หยอง มีติดบ้านไว้ไม่ผิดหวัง,ขนมปังไก่หยอง มีติดบ้านไว้ไม่ผิดหวัง,,"ขนมปังไก่หยอง, มีติดบ้านไว้ไม่ผิดหวัง, bread",0,4,2,2024-08-25T15:47:34Z,2e-06,bakery,bread,https://www.instagram.com/p/4de93b5b-bd14-4abb-a722-ea8faed30dfb/
TikTok,ขนมปังน้ำสลัดไก่หยอง ยกกล่อง 12 ชิ้น ขนมปังน้ำสลั,ขนมปังน้ำสลัดไก่หยอง ยกกล่อง 12 ชิ้น #ขนมปังน้ำสลัดไก่หยอง #ขนมปังไก่หยองน้ําสลัด #ขนมร้านชำ #ขนม5บาท #เจเจสุดคุ้ม,"#ขนมปังน้ำสลัดไก่หยอง, #ขนมปังไก่หยองน้ําสลัด, #ขนมร้านชำ, #ขนม5บาท, #เจเจสุดคุ้ม","บาท, ชิ้น, เจเจสุดคุ้ม, ขนม, bread, ขนมปังไก่หยองน้ําสลัด",0,2,2,2025-10-16T15:47:34Z,1e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/815f6425-31bc-43d6-8e4e-edbe003d523d
Instagram,ขนมปังไก่หยองน้ำสลัดของ After you อร่อยนะ อยากให้ล,ขนมปังไก่หยองน้ำสลัดของ After you อร่อยนะ อยากให้ลอง 😋 #ขนมปังไก่หยองน้ําสลัด #อร่อยบอกต่อ #อร่อยไปกิน #รีวิวของดีบอกต่อ #รีวิวอาหาร,"#ขนมปังไก่หยองน้ําสลัด, #อร่อยบอกต่อ, #อร่อยไปกิน, #รีวิวของดีบอกต่อ, #รีวิวอาหาร","อยากให้ล, รีวิวอาหาร, รีวิวของดีบอกต่อ, ขนมปังไก่หยองน้ำสลัดของ, อยากให้ลอง, bread",0,2,13,2025-10-13T15:47:34Z,6e-06,bakery,bread,https://www.instagram.com/p/97575766-cb22-4861-8376-1c632e68ac16/
TikTok,ปังมินิไก่หยองน้ำสลัด ถูกใจทั้งนักเรียนและคนทำงาน,ปังมินิไก่หยองน้ำสลัด ถูกใจทั้งนักเรียนและคนทำงาน #ปังไก่หยองน้ําสลัดโบราณ #นิเด๊ะ_ปั้นแป้ง #อาชีพเสริมสร้างรายได้,"#ปังไก่หยองน้ําสลัดโบราณ, #นิเด๊ะ_ปั้นแป้ง, #อาชีพเสริมสร้างรายได้","อาชีพเสริมสร้างรายได้, other, ถูกใจทั้งนักเรียนและคนทำงาน, ปังไก่หยองน้ําสลัดโบราณ, ปังมินิไก่หยองน้ำสลัด, ปั้นแป้ง",0,5,16,2025-08-06T15:47:34Z,8e-06,bakery,other,https://www.tiktok.com/@bakery_thailand/video/8cb8db8a-5997-4977-9b12-732173e79c1a
Instagram,ตัวใหม่ ยูโร่ปัง ขนมปังหน้าไก่หยองสอดไส้ครีมคัสตาร,ตัวใหม่ ยูโร่ปัง ขนมปังหน้าไก่หยองสอดไส้ครีมคัสตาร์ด#ขนมมาใหม่ #ยูโร่ปัง #ขนมปังหน้าไก่หยอง #ขนมยูโร่,"#ขนมมาใหม่, #ยูโร่ปัง, #ขนมปังหน้าไก่หยอง, #ขนมยูโร่","ยูโร่ปัง, ขนมปังหน้าไก่หยองสอดไส้ครีมคัสตาร์ด, ตัวใหม่, bread, ขนมยูโร่, ขนมปังหน้าไก่หยองสอดไส้ครีมคัสตาร",0,4,3,2024-07-25T15:47:34Z,2e-06,bakery,bread,https://www.instagram.com/p/f947ae96-3759-4c02-a994-9f39be10527d/
Instagram,ขนงปังปุ๊กปิ๊ก ไส้ไก่หยองเยิ้มอร่อยเต็มคำ ทานง่าย,ขนงปังปุ๊กปิ๊ก ไส้ไก่หยองเยิ้มอร่อยเต็มคำ ทานง่าย 🍞 #ปังปุ๊กปิ๊ก #ขนมบ้านอุ้ม #baanoum,"#ปังปุ๊กปิ๊ก, #ขนมบ้านอุ้ม, #baanoum","other, ปังปุ๊กปิ๊ก, ทานง่าย, ไส้ไก่หยองเยิ้มอร่อยเต็มคำ, ขนมบ้านอุ้ม, ขนงปังปุ๊กปิ๊ก",0,3,3,2024-12-24T15:47:34Z,2e-06,bakery,other,https://www.instagram.com/p/23fbb8a8-1f00-4013-8a74-8f1b8a0e4f4d/
Facebook,🍞 ร้าน Ka-nom ได้ออกแบรนด์น้องใหม่ Everydough เป็,🍞 ร้าน Ka-nom ได้ออกแบรนด์น้องใหม่ @Everydough เป็นขนมปังอบสด เปิดตัวด้วย เค้กไก่หยองน้ำสลัด ขนมปังหมูหยองน้ำสลัด และขนมปังหมูหยองไส้ไข่เค็ม บอกเลยว่าใช้ของดีมากๆ หมูหยอง ไก่หยอง หอมอร่อย น้ำสลัดมาแบบกำลังดี คุณภาพดีตามมาตรฐานสมกับเป็นร้านในตำนานเลย #kanom #everydaybread #เค้กไก่หยอง #ขนม,"#kanom, #everydaybread, #เค้กไก่หยอง, #ขนม","ขนมปังหมูหยองน้ำสลัด, น้ำสลัดมาแบบกำลังดี, ร้าน, ขนม, cake, บอกเลยว่าใช้ของดีมากๆ",0,0,23,2024-11-06T15:47:34Z,1e-05,bakery,cake,https://www.facebook.com/bakerythailand/posts/7680070a-25a6-453c-9555-2b0e3f709158
TikTok,ขนมปังไก่หยอง,ขนมปังไก่หยอง,,"ขนมปังไก่หยอง, bread",0,2,0,2024-10-09T15:47:34Z,1e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/54ade626-35ba-442d-aa81-643b45326e11
TikTok,🐔✨ขนมปังไก่หยองน้ำสลัดฉ่ำๆพร้อมเสิร์ฟค่ะ . ดีใจ! ข,🐔✨ขนมปังไก่หยองน้ำสลัดฉ่ำๆพร้อมเสิร์ฟค่ะ . ดีใจ! ขนมปังไส้โปรดอย่างไก่หยองน้ำสลัด @อาฟเตอร์ ยู🐏 วางขายแล้วที่้ร้าน Mikka ค่าา มาในแพ็คขนาด 2 ชิ้น แบบพอดีหนึ่งอิ่ม ขนมปังนุ่ม ไส้ไก่หยองน้ำสลัดฉ่ำๆ จับเข้าเวฟ 15 วินาที เยิ้มสุดใจ หอมนัวสุดๆ จับคู่กับเครื่องดื่ม Mikka คือดีมากกกก🥰🤌 . พิกัดหน้าร้าน @Mikka Coffee Roasters ทุกสาขาและช่องทาง Delivery ค่ะ❤️ . #cookingwithjjkatherine #ห้องครัวtiktok #ห้องครัวติ๊กต๊อก #tiktokthailand #ขนมปังไก่หยองน้ําสลัด,"#cookingwithjjkatherine, #ห้องครัวtiktok, #ห้องครัวติ๊กต๊อก, #tiktokthailand, #ขนมปังไก่หยองน้ําสลัด","ยู, วางขายแล้วที่้ร้าน, พิกัดหน้าร้าน, เยิ้มสุดใจ, ไส้ไก่หยองน้ำสลัดฉ่ำๆ, bread",0,0,0,2025-01-30T15:47:34Z,0.0,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/4b59257e-b711-43a7-a580-88850e52cd5e
Instagram,นุ่นฟันนี่ส์ ขนมปัง ขนมปังน้ําสลัดไก่หยอง,#นุ่นฟันนี่ส์ #ขนมปัง #ขนมปังน้ําสลัดไก่หยอง,"#นุ่นฟันนี่ส์, #ขนมปัง, #ขนมปังน้ําสลัดไก่หยอง","ขนมปัง, ขนมปังน้ําสลัดไก่หยอง, นุ่นฟันนี่ส์, bread",0,58,156,2024-07-02T15:47:34Z,8.3e-05,bakery,bread,https://www.instagram.com/p/2efcf648-1116-4ee1-90c7-d84b5d0c391e/
TikTok,อาชีพเสริมของเรา ทำด้วยใจ ถึงกำไรจะน้อย แต่เห็นเด็,อาชีพเสริมของเรา ทำด้วยใจ ถึงกำไรจะน้อย แต่เห็นเด็กๆทานแล้วมีความสุข #เทรนวันนี้ #โรตี #ขนมปัง,"#เทรนวันนี้, #โรตี, #ขนมปัง","โรตี, ทำด้วยใจ, แต่เห็นเด็กๆทานแล้วมีความสุข, อาชีพเสริมของเรา, ขนมปัง, bread",0,0,2,2024-05-28T15:47:34Z,1e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/5ac5fac7-52af-414d-baca-6a36885ae062
TikTok,อร่อยนะเนี่ยทำเป็นเล่น ขนมปังไก่หยองน้ําสลัด อร่,อร่อยนะเนี่ยทำเป็นเล่น #ขนมปังไก่หยองน้ําสลัด #อร่อย #หลินที่ชอบกินชาเย็น🧋,"#ขนมปังไก่หยองน้ําสลัด, #อร่อย, #หลินที่ชอบกินชาเย็น","อร่อย, อร่, หลินที่ชอบกินชาเย็น, bread, ขนมปังไก่หยองน้ําสลัด, อร่อยนะเนี่ยทำเป็นเล่น",0,4,6,2025-02-06T15:47:34Z,4e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/3dba2cc6-1174-4407-99d4-68e19d170739
TikTok,ตัวการที่มาของกระแส ขนมปังไก่หยอง ครั้งนี้คือ ร้าน,ตัวการที่มาของกระแส ขนมปังไก่หยอง ครั้งนี้คือ ร้านนี้เลย Bao's Pastry ขายไปได้แล้วกว่า 300 ล้านชิ้น #เที่ยวจีน #เที่ยวต่างประเทศ #baopastry #บัตรเครดิต #ขนมปังไก่หยอง #lifeinaugust #tiktokuni,"#เที่ยวจีน, #เที่ยวต่างประเทศ, #baopastry, #บัตรเครดิต, #ขนมปังไก่หยอง, #lifeinaugust, #tiktokuni","ร้านนี้เลย, ร้าน, ขายไปได้แล้วกว่า, ล้านชิ้น, เที่ยวจีน, bread",0,12,364,2024-08-22T15:47:34Z,0.000159,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/11e4b0a5-bfe0-445d-9e34-2e0d31600793
TikTok,🔥 แซนด์วิชสอดไส้ไก่หยอง! นุ่ม หอม ฟินเกินต้าน 🥪 กั,🔥 แซนด์วิชสอดไส้ไก่หยอง! นุ่ม หอม ฟินเกินต้าน 🥪 กัดทีเดียว อร่อยเต็มคำ! ✨ อร่อยเร็ว อิ่มง่าย พกพาสะดวก กินได้ทุกเวลา! 💥 #แซนด์วิช #ไก่หยอง #ของดีบอกต่อ #ของว่างทานเล่น #fyp,"#แซนด์วิช, #ไก่หยอง, #ของดีบอกต่อ, #ของว่างทานเล่น, #fyp","กินได้ทุกเวลา, ฟินเกินต้าน, อร่อยเต็มคำ, อร่อยเร็ว, bread, กัดทีเดียว",0,0,3,2025-09-10T15:47:34Z,1e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/1f89b185-e37a-468c-b73b-4f7ab29fbaaa
TikTok,ขนมปัง น้ำสลัดไก่หยอง ขนมปังน้ำสลัดไก่หยอง เปิ,#ขนมปัง #น้ำสลัดไก่หยอง #ขนมปังน้ำสลัดไก่หยอง #เปิดการมองเห็น,"#ขนมปัง, #น้ำสลัดไก่หยอง, #ขนมปังน้ำสลัดไก่หยอง, #เปิดการมองเห็น","เปิดการมองเห็น, เปิ, น้ำสลัดไก่หยอง, ขนมปัง, bread, ขนมปังน้ำสลัดไก่หยอง",0,1,1,2025-04-03T15:47:34Z,1e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/2db18463-22bc-454e-a673-c72e5ceab1e3
TikTok,Afteryouมีขนมปังไก่หยองน้ำสลัดแล้ว 🍞💚 ทาสรักปังไก,#Afteryouมีขนมปังไก่หยองน้ำสลัดแล้ว 🍞💚 ทาสรักปังไก่หยองต้องกรี้ดดด วางขายพรุ่งนี้เป็นต้นไปที่อาฟเตอร์ยู ทุกสาขา! 😍🫶🏻 New! ขนมปังไก่หยองน้ำสลัด ปังนุ่มๆๆที่มีไก่หยองทั้งด้านนอกและไส้ไก่หยองด้านใน! คลุกเคล้าสาหร่าย🍘 มีน้ำสลัดฉ่ำๆ แนะนำเข้าเวฟ 10 วิ จะได้ความเยิ้มนัว อร่อยฟินนน! 😋 1 กล่อง 6 ชิ้น กล่องละ 165.- น้า 📍พิกัด ร้าน @อาฟเตอร์ ยู🐏 ทุกสาขานะคะ #foodyoucaneat #afteryou #อาฟเตอร์ยู #ขนมปัง #ขนมปังไก่หยอง #ขนมปังไก่หยองน้ําสลัด #tiktokพากิน #tiktokviral #ปักหมุดร้านอร่อย📍 #tiktokพากินของอร่อย #ขนมอร่อยบอกต่อ #เบอเกอรี่,"#Afteryouมีขนมปังไก่หยองน้ำสลัดแล้ว, #foodyoucaneat, #afteryou, #อาฟเตอร์ยู, #ขนมปัง, #ขนมปังไก่หยอง, #ขนมปังไก่หยองน้ําสลัด, #tiktokพากิน, #tiktokviral, #ปักหมุดร้านอร่อย, #tiktokพากินของอร่อย, #ขนมอร่อยบอกต่อ, #เบอเกอรี่","ยู, ขนมอร่อยบอกต่อ, มีน้ำสลัดฉ่ำๆ, กล่องละ, จะได้ความเยิ้มนัว, bread",0,16,1345,2025-07-17T15:47:34Z,0.00058,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/23a646be-5e9c-4b4a-a4e9-ce30d5ed77c3
Facebook,"📣วันนี้ทางร้านมานำเสนอ""ขนมปังนิ่มไก่หยองมายองเนส""","📣วันนี้ทางร้านมานำเสนอ""ขนมปังนิ่มไก่หยองมายองเนส"" ขนมปังนุ่ม โรยหน้าด้วยไก่หยองแบบจุๆ แล้วราดมายองเนส พร้อมทานได้เลย อร่อยแบบเต็มคำ #เดอะฟอร์ยูห้าแยก #เบเกอรี่เมืองยะลา #ของอร่อยเมืองยะลา #ร้านของฝากเมืองยะลา #ขนมปังนิ่มไก่หยองมายองเนส #bakeryyala","#เดอะฟอร์ยูห้าแยก, #เบเกอรี่เมืองยะลา, #ของอร่อยเมืองยะลา, #ร้านของฝากเมืองยะลา, #ขนมปังนิ่มไก่หยองมายองเนส, #bakeryyala","เดอะฟอร์ยูห้าแยก, แล้วราดมายองเนส, โรยหน้าด้วยไก่หยองแบบจุๆ, ขนมปังนุ่ม, bread, ร้านของฝากเมืองยะลา",0,3,0,2024-11-27T15:47:34Z,1e-06,bakery,bread,https://www.facebook.com/bakerythailand/posts/2ce50609-c8fa-40fd-ad36-11963a316cd3
TikTok,ขนมปังไก่หยองน้ําสลัด ขนมปังไก่หยองยกลัง ปังไก่,#ขนมปังไก่หยองน้ําสลัด #ขนมปังไก่หยองยกลัง #ปังไก่หยองน้ำสลัด #สินค้าดังปังชัวร์,"#ขนมปังไก่หยองน้ําสลัด, #ขนมปังไก่หยองยกลัง, #ปังไก่หยองน้ำสลัด, #สินค้าดังปังชัวร์","ปังไก่หยองน้ำสลัด, ปังไก่, สินค้าดังปังชัวร์, ขนมปังไก่หยองยกลัง, bread, ขนมปังไก่หยองน้ําสลัด",0,0,0,2025-06-07T15:47:34Z,0.0,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/ca42cbe2-ff76-45c4-ae24-de7d4259f154
Instagram,อร่อย ขนมปังนุ่ม ขนมปังไก่หยองน้ําสลัด ขนมจัดเบร,อร่อย ขนมปังนุ่ม #ขนมปังไก่หยองน้ําสลัด #ขนมจัดเบรก #ขนมปัง,"#ขนมปังไก่หยองน้ําสลัด, #ขนมจัดเบรก, #ขนมปัง","ขนมจัดเบรก, อร่อย, ขนมปังนุ่ม, ขนมจัดเบร, ขนมปัง, bread",0,1,0,2024-01-30T15:47:34Z,0.0,bakery,bread,https://www.instagram.com/p/64aa2a54-cda9-4145-8ce2-fe018f98f3bf/
TikTok,ใครคถ bao’s pastry Shanghai 🇹🇼 มาทางนี้ 😋 คนไทยคนส,ใครคถ bao’s pastry Shanghai 🇹🇼 มาทางนี้ 😋 คนไทยคนสุดท้ายที่ได้ลองขนมปังไก่หยอง naixue 💚🤣 #naixuethailand #ขนมปัง #bakery #bakersoftiktok,"#naixuethailand, #ขนมปัง, #bakery, #bakersoftiktok","มาทางนี้, คนไทยคนส, ขนมปัง, ใครคถ, bread, คนไทยคนสุดท้ายที่ได้ลองขนมปังไก่หยอง",0,4,58,2023-10-25T15:47:34Z,2.6e-05,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/336fead1-9825-456b-b99d-78b06d7d5f49
Instagram,จัดอันดับ 9 ขนมจากญี่ปุ่น ยองลิ่งกินสะบัดขนมญี,จัดอันดับ 9 ขนมจากญี่ปุ่น ##ยองลิ่งกินสะบัด##ขนมญี่ปุ่น##ของฝากจากญี่ปุ่น##japanesefood##fyp##ขนมญี่ปุ่นอร่อยมาก##japan##ขนมอร่อย,"#ยองลิ่งกินสะบัด, #ขนมญี่ปุ่น, #ของฝากจากญี่ปุ่น, #japanesefood, #fyp, #ขนมญี่ปุ่นอร่อยมาก, #japan, #ขนมอร่อย","จัดอันดับ, other, ขนมอร่อย, ขนมจากญี่ปุ่น, ยองลิ่งกินสะบัดขนมญี, ขนมญี่ปุ่นอร่อยมาก",0,162,6562,2025-03-24T15:47:34Z,0.002852,bakery,other,https://www.instagram.com/p/ba5bcaca-4b34-42fe-89f9-68c282f9ba16/
TikTok,เปิดรับพรีออเดอร์ ขนมโมนากะ🇯🇵 ขนมสุดฮิตจากญี่ปุ่น,เปิดรับพรีออเดอร์ ขนมโมนากะ🇯🇵 ขนมสุดฮิตจากญี่ปุ่น ไส้หนึบหนับ หวานอร่อย หิ้วเองจากญี่ปุ่นค่า✨ 1 ชิ้น 150 บ. 5 ชิ้น 650 บ. ส่งฟรี #fyp #ฟืด #ฟีดดดシ #ขนมโมนากะ #หิ้วญี่ปุ่น🇯🇵 #ขนมญี่ปุ่น #สินค้าขายดี #ฮิตในtiktok #ขนมตัวดังในtiktok #fyppppppppppppppppppppppp,"#fyp, #ฟืด, #ฟีดดดシ, #ขนมโมนากะ, #หิ้วญี่ปุ่น, #ขนมญี่ปุ่น, #สินค้าขายดี, #ฮิตในtiktok, #ขนมตัวดังในtiktok, #fyppppppppppppppppppppppp","ไส้หนึบหนับ, other, หิ้วเองจากญี่ปุ่นค่า, ชิ้น, ฮิตใน, ฟืด",0,69,265,2025-08-26T15:47:34Z,0.000133,bakery,other,https://www.tiktok.com/@bakery_thailand/video/437e6ca1-a743-437b-a53b-4db8cd0e1f24
Instagram,พาไปซื้อขนมชีสแท่งตัวดังจากญี่ปุ่น NY Newyork Perf,พาไปซื้อขนมชีสแท่งตัวดังจากญี่ปุ่น NY Newyork Perfect Cheese 🧀 #ขนมญี่ปุ่น #รีวิวขนมญี่ปุ่น #tokyo #เที่ยวญี่ปุ่น #traveljapan #ของเด็ดญี่ปุ่น #nynewyorkperfectcheese #newyorkperfectcheese #เที่ยวโตเกียว #เที่ยวโตเกียว2023,"#ขนมญี่ปุ่น, #รีวิวขนมญี่ปุ่น, #tokyo, #เที่ยวญี่ปุ่น, #traveljapan, #ของเด็ดญี่ปุ่น, #nynewyorkperfectcheese, #newyorkperfectcheese, #เที่ยวโตเกียว, #เที่ยวโตเกียว2023","other, เที่ยวญี่ปุ่น, เที่ยวโตเกียว, ของเด็ดญี่ปุ่น, ขนมญี่ปุ่น, รีวิวขนมญี่ปุ่น",0,107,2641,2024-11-04T15:47:34Z,0.00116,bakery,other,https://www.instagram.com/p/145aa334-1e6d-49fd-8bef-6ad43afe1e2d/
TikTok,ขนมฮิตสุดติดปากของฝากจากญี่ปุ่น 🍘🎌✨ ของฝาก กินกั,ขนมฮิตสุดติดปากของฝากจากญี่ปุ่น 🍘🎌✨ #ของฝาก #กินกับtiktok #tiktokพากิน #tiktokuni #นักชิมอาหาร #ญี่ปุ่น #ขนมญี่ปุ่น #อาหารญี่ปุ่น #snack,"#ของฝาก, #กินกับtiktok, #tiktokพากิน, #tiktokuni, #นักชิมอาหาร, #ญี่ปุ่น, #ขนมญี่ปุ่น, #อาหารญี่ปุ่น, #snack","อาหารญี่ปุ่น, other, ญี่ปุ่น, กินกับ, พากิน, นักชิมอาหาร",0,20,280,2025-05-14T15:47:34Z,0.000125,bakery,other,https://www.tiktok.com/@bakery_thailand/video/ad794d98-493e-4bc7-8a6b-017865883b29
TikTok,บอนบอนลูกละ5ครั้งแรกโดนรุม5555 อยากนำไปขาย มีราคาส,บอนบอนลูกละ5ครั้งแรกโดนรุม5555 อยากนำไปขาย มีราคาส่ง ส่งได้ทั่วประเทศ ขายก่อนได้ก่อน ขนมฮิตจากญี่ปุ่น #บอนบอน #ขายของหน้าโรงเรียน #ขายอะไรดี #หาของขาย #ขายของตลาดนัด,"#บอนบอน, #ขายของหน้าโรงเรียน, #ขายอะไรดี, #หาของขาย, #ขายของตลาดนัด","มีราคาส, ขายก่อนได้ก่อน, other, หาของขาย, บอนบอน, ขนมฮิตจากญี่ปุ่น",0,165,1389,2025-08-10T15:47:34Z,0.000641,bakery,other,https://www.tiktok.com/@bakery_thailand/video/0222aad9-0b84-48d1-a77b-64b7c92de1a9
TikTok,5ขนมอร่อยที่ควรซื้อกลับจากญี่ปุ่น สายชีสมามุงทางนี,5ขนมอร่อยที่ควรซื้อกลับจากญี่ปุ่น สายชีสมามุงทางนี้เลยค่า 🇯🇵🧀 #ญี่ปุ่น #japan #japanese #japantravel #เที่ยวญี่ปุ่น #tokyo #osaka #ขนมอร่อยบอกต่อ #เอาขึ้นหน้าฟีดที #เอาขึ้นฟีดที #เปิดการมองเห็น #เปิดการมองเห็นเถอะ #เปิดการมองเห็นtiktok #ขึ้นฟีดเถอะ #ขนมอร่อยบอกต่อ,"#ญี่ปุ่น, #japan, #japanese, #japantravel, #เที่ยวญี่ปุ่น, #tokyo, #osaka, #ขนมอร่อยบอกต่อ, #เอาขึ้นหน้าฟีดที, #เอาขึ้นฟีดที, #เปิดการมองเห็น, #เปิดการมองเห็นเถอะ, #เปิดการมองเห็นtiktok, #ขึ้นฟีดเถอะ, #ขนมอร่อยบอกต่อ","ขนมอร่อยที่ควรซื้อกลับจากญี่ปุ่น, สายชีสมามุงทางนี, other, ญี่ปุ่น, ขนมอร่อยบอกต่อ, เที่ยวญี่ปุ่น",0,69,2762,2025-06-17T15:47:34Z,0.001201,bakery,other,https://www.tiktok.com/@bakery_thailand/video/156fa748-c4e8-4a83-8a89-bed5e623f27b
